fields.discountPrice,fields.price,discount,fields.title,fields.shortInfo
13.5,50.0,2.7,ZM【当天可定】广东 东莞南社明清古村落 成人儿童老人观光大门票,东莞
180.0,630.0,2.9,【大学生3人特惠】武汉海昌极地海洋公园门票 海洋世界含萌宠乐园,武汉
598.0,1980.0,3.0,【598元/10次卡】超值钜惠 珠海海泉湾海洋温泉10次卡 可4人使用,珠海
18.0,53.1,3.4,【双人特价 电子票】成都大熊猫基地门票成都大熊猫繁育研究基地,成都
34.5,100.0,3.4,ZY【提前1小时下单】广东 清远田野绿世界 成人儿童老人大门票,清远
36.0,100.0,3.6,ZM【当天可定】广东 阳江闸坡大角湾景区 成人1日景区大门票,阳江
60.0,166.5,3.6,即买即用 索道+缆车】 深圳东部华侨城大侠谷门票 大峡谷亲子家庭,深圳
49.9,135.0,3.7,当日可订 河北 秦皇岛 沙雕海洋乐园门票 沙雕大世界大门票,秦皇岛
20.0,52.99,3.8,【 即买即用】南宁园博园门票 第十二届园博会园博园门票,南宁
21.4,55.0,3.9,【 即买即用】南宁园博园门票 第十二届园博会园博园门票,南宁
40.0,100.0,4.0,ZM【当天可定】提前1小时下单 广东茂名浪漫海岸成人儿童情侣门票,茂名
24.0,60.0,4.0,【当天可定 即定即用】 广东 东莞梦幻百花洲 成人儿童老人大门票,东莞
138.0,336.0,4.1,银川天山海世界.黄河明珠五一特惠双人票,银川
35.0,83.0,4.2,【当天可订】江苏无锡鼋头渚门票+客渡船门票（含园内公交车）,无锡
69.9,168.0,4.2,【官方旗舰店】石家庄天山海世界69.9元五一特惠票,石家庄
45.0,100.0,4.5,ZM【当天8点30前可定】广东佛山南海影视城 成人儿童老人大门票,佛山
45.0,100.0,4.5,青岛森林野生动物园门票 野生动物世界 青岛动物园门票 下单立减,青岛
50.0,110.0,4.5,市区取票】 桂林旅游尧山景区门票含双程缆车索道门票未取票随退,桂林
45.0,100.0,4.5,ZM【当天9点前可定】广东清远连南千年瑶寨旅游 成人儿童大门票,清远
87.0,185.0,4.7,【自动出票】云南昆明七彩云南欢乐世界门票 古滇欢乐世界,昆明
418.0,888.0,4.7,【周年庆特价】徐州乐园糖果世界2019年卡一宝卡原价888抢购价418,徐州
55.0,118.1,4.7,【限时特惠】合肥融创水乐园合肥万达水乐园门票万达茂水世界,合肥
100.0,208.0,4.8,泰国芭提雅东方公主号人妖秀表演秀演出门票芭堤雅蒂芬妮夜特色秀,芭堤雅
47.0,95.01,4.9,【当天可订 即买即用】西安秦岭野生动物园大门票 野生动物园门票,西安
148.0,300.0,4.9,【海南岛民专享】海南三亚千古情景区贵宾席成人演出票/电子票,三亚
17.9,36.7,4.9,【未用可退】广东肇庆悦城龙母庙门票 德庆悦城龙母祖庙成人票,肇庆
183.0,366.0,5.0,国旅当天可订香港迪士尼乐园三合一餐券 午餐+晚餐+小吃,香港
258.0,516.0,5.0,【踏青特惠】常州恐龙园门票二次票电子票,常州
85.0,170.0,5.0,相公山专线+门票 漓江日出 摄影 桂林旅游阳朔县城专线车接送,桂林
396.0,796.0,5.0,上海旅游上海迪士尼门票 迪士尼乐园1日票 亲子情侣朋友聚会F,上海
115.0,230.0,5.0,（当天可订）香港迪士尼乐园二合一餐券迪斯尼餐券含午餐或晚餐券,香港
60.0,120.0,5.0,东方明珠 地标乐园【仅限现场扫码购买 不含景区大门票】,上海
464.0,928.0,5.0,国旅【当天可订】香港迪士尼乐园1日门票迪斯尼一日票disney门票,香港
1007.0,2014.0,5.0,【当天可订】香港迪士尼乐园套票 1日门票+三合一餐券迪斯尼门票,香港
464.0,928.0,5.0,海侨【当天可订】香港迪士尼乐园1日门票迪斯尼一日票disney门票,香港
396.0,796.0,5.0,上海旅游上海迪士尼门票 迪士尼乐园1日票 亲子情侣朋友聚会F,上海
202.0,404.0,5.0,（当天可订）香港迪士尼乐园三合一餐券迪斯尼餐券含午餐、晚餐券,香港
115.0,230.0,5.0,【国旅】香港迪士尼乐园二合一餐券迪士尼午餐或晚餐二选一餐票,香港
53.0,106.0,5.0,河南鹤壁淇河谷桑园小镇景区玻璃栈道成人门票5D玻璃栈道百米悬空,鹤壁
357.0,714.0,5.0,【金牌筏工+可选阳朔接送】桂林小漓江遇龙河竹筏漂流金龙桥-旧县,桂林
54.0,108.0,5.0,【电子票 景区取票】桂林旅游景点门票森林古东瀑布景区大门票,桂林
188.0,368.0,5.1,【当天可订 刷身份证入园】上海迪士尼门票上海迪士尼一日票,上海
79.0,155.1,5.1,【可订今日】南昌万达海洋乐园门票融创海洋乐园亲子大学生成人票,南昌
716.0,1399.0,5.1,上海迪士尼门票 上海迪士尼乐园2日票 上海旅游朋友亲子情侣旅游F,上海
716.0,1399.0,5.1,上海迪士尼门票 上海迪士尼乐园2日票 上海旅游朋友亲子情侣旅游F,上海
43.99,85.01,5.2,【包含表演】青岛黄岛小珠山森林野生动物世界园旅游景区景点门票,青岛
110.0,210.0,5.2,桂林阳朔兴坪龙颈河漂流全程漂1.5小时龙颈河漂流门票含换成车,桂林
45.0,85.0,5.3,桂林阳朔旅游景点十里画廊聚龙潭大门票含奇石宫水陆两游县城取票,桂林
42.7,80.0,5.3,当天可订 上海浦江游览船票 浦江夜游船票 黄浦江游船 夜游船票,上海
68.0,128.0,5.3,【官方旗舰店】天津天山海世界米立方五一特惠票活动票,天津
113.0,214.8,5.3,上海野生动物园门票成人票热门主题公园含猛兽H,上海
20.89,38.89,5.4,当天可定广东花都石头记矿物园大门票花都石头记矿物园门票电子票,广州
25.0,45.1,5.5,官方电子票 当天可订】杭州西湖灵隐寺飞来峰门票灵隐飞来峰,杭州
55.0,100.0,5.5,ZY【当天可定 即定即用】广东 中山迪茵湖田家舍农场成人儿童门票,中山
147.0,268.0,5.5,海口长影环球100奇幻乐园全天门票,海口
106.5,190.1,5.6,【送俱乐部 刷身份证进】常州恐龙园门票中华恐龙园大学生成人票,常州
35.0,62.0,5.6,桂林旅游景点门票阳朔十里画画廊图腾古道门票电子票1小时后生效,桂林
33.6,60.0,5.6,ZY【当天可定即定即用】广东清远九龙峰林小镇 成人儿童老人门票,清远
56.0,100.0,5.6,ZY 广东 东莞观音山国家森林公园 成人大门票+上山单程观光车票,东莞
11.0,19.0,5.8,桂林阳朔旅游景点十里画廊景区大榕树景点大门票提前1小时电子票,桂林
114.0,192.8,5.9,当天可订|深圳世界之窗门票 世界之窗全天票 包含夜场 快速入园,深圳
58.0,98.0,5.9,【今日有票 电子票】北京世界公园门票 北京丰台世界公园门票,北京
59.0,100.0,5.9,桂林旅游景点春晚分会场象山传奇幻影剧场演出象鼻山景区夜景门票,桂林
145.0,245.0,5.9,【官方快速出票 无需排队】山西旅游五台山门票景点进山门票成人,忻州
59.0,99.0,6.0,2019年惠民旅游卡 河南惠民旅游年票卡 河南旅游惠民卡一卡通年卡,郑州
145.0,240.0,6.0,【官方直营】苏州甪直古镇 万盛水道夜游 船票(包船可坐8人),苏州
155.0,255.0,6.1,【无需排队】上海旅游东方明珠广播电视塔门票一日游纯玩B票,上海
23.0,38.0,6.1,【亲子票42起】广东广州南沙湿地公园门票 南沙湿地公园门票,广州
238.0,390.0,6.1,桂林阳朔印象刘三姐新贵宾B2席山水实景演出门票+银子岩门票套票,桂林
20.0,33.0,6.1,当天可订！海南旅游海口火山群火山口国家地质国家公园门票景点区,海口
125.0,205.9,6.1,当天可订】深圳世界之窗门票 世界之窗全天票（不出园可玩夜场）,深圳
61.0,100.0,6.1,ZY【当天可定】广东 东莞龙凤山庄影视度假村 成人观光票大门票,东莞
39.5,65.0,6.1,【赏花游玩】江苏苏州尚湖风景区 大门票尚湖景区电子票,苏州
198.0,318.0,6.2,【官方|当天可订】苏州甪直古镇门票+万盛水道游船包船可坐8人,苏州
130.6,210.0,6.2,【随买随用】深圳世界之窗门票 深圳世界之窗门票日场+夜场票,深圳
82.99,133.0,6.2,[即买即用] 北京南宫温泉水世界门票 南宫温泉水世界门票 成人票,北京
73.01,118.0,6.2,【当天可订】广东茂名御水古温泉度假村门票 茂名御水古温泉门票,茂名
50.0,80.0,6.2,【当天可定】张家界旅游土家风情园门票土司城电子票方便快捷J,张家界
27.88,45.0,6.2,当天可订，海南三亚崖州古越游览门票,三亚
68.5,110.1,6.2,【电子票】广东东莞香市动物园门票（含海洋动物园表演+7项游乐）,东莞
124.0,192.8,6.4,【当日可订】深圳世界之窗门票 日夜场通玩 包含夜场 入园快速,深圳
122.0,192.0,6.4,【当天可订】深圳世界之窗门票 全天包含夜场 日场成人票,深圳
190.0,299.0,6.4,【赠往返穿梭巴士】香港杜莎夫人蜡像馆门票太平山顶蜡像馆大门票,香港
369.0,565.0,6.5,【当天可定】上海迪士尼门票上海迪士尼乐园1日门票一日迪斯尼票,上海
160.0,248.0,6.5,【当天可订】烟台海昌雨岱山温泉门票 温泉+欢乐海岸游乐广场门票,烟台
28.0,43.0,6.5,电子票-出票快！万宁兴隆热带植物园门票三亚旅游景点景区门票,万宁市
120.0,184.0,6.5,桂林旅游景点门票春晚分会场象鼻山景区公园+芦笛岩景区门票套票,桂林
36.5,55.0,6.6,【扫码入园方便快捷】湖北武汉花博汇大门票花博汇景区门票,武汉
85.0,128.0,6.6,重庆朝天两江游船票朝天门朝天宫游船重庆两江夜游船票旅游门票,重庆
21.0,32.0,6.6,提前半小时购买！海南万宁市东山岭风景区门票 海南第一山,万宁市
200.0,300.0,6.7,芭提雅东方公主号人妖秀表演门票 泰国芭堤雅旅游 人妖秀表演,芭堤雅
200.0,300.0,6.7,泰国芭提雅东方公主号游轮 芭堤雅人妖秀表演门票含自助餐旅游,芭堤雅
59.9,90.0,6.7,官方票！三亚凤凰岭公园海誓山盟景区门票+往返索道老人票优惠,三亚
60.0,89.91,6.7,当天可定 厦门鼓浪屿五大景点联票含日光岩门票套票鼓浪屿景点票,厦门
303.0,453.0,6.7,【当天可订 成人儿童含小食餐券】香港海洋公园门票含缆车含餐券,香港
363.9,544.0,6.7,?当天可订上海迪士尼门票上海迪士尼乐园1日门票迪斯尼导览服务,上海
19.5,29.0,6.7,【当天可订 电子票】香港海龙明珠维港夜游船票维多利亚港夜游船,香港
26.0,39.0,6.7,【自动发码】江苏扬州凤凰岛景区大门票 扬州凤凰岛成人票电子票,扬州
60.0,90.0,6.7,东方明珠九号卡丁体验票【仅限现场扫码购买 不含景区大门票】,上海
80.0,120.0,6.7,桂林旅游景点门票城徽象鼻山景区公园门票叠彩山送伏坡山门票套票,桂林
398.0,596.0,6.7,【官方特惠】珠海海泉湾海洋原创套票 海洋温泉门票+原创按摩门票,珠海
60.0,88.0,6.8,"出票快,马上入园,三亚槟榔河温泉门票海南黎家文化康乐园小鱼温泉",三亚
135.0,200.0,6.8,桂林旅游门票独秀峰王城靖江王府+芦笛岩景区套票快速入园,桂林
60.0,88.0,6.8,"出票快,当天可订,三亚槟榔河温泉门票海南黎家文化康乐园小鱼温泉",三亚
60.0,88.0,6.8,"出票快,当天可订,三亚槟榔河温泉门票海南黎家文化康乐园小鱼温泉",三亚
250.0,368.0,6.8,桂林旅游门票漓江三星豪华游船船票磨盘山阳朔全程游漓江含餐船票,桂林
218.0,318.0,6.9,【赠到演出点交通】官方又见五台山门票山西旅游实景演出成人门票,忻州
360.0,518.0,6.9,【官方联票】杭州宋城千古情贵宾席演出票+云曼温泉成人联票,杭州
118.0,170.0,6.9,51大促|仅118 糖果世界周边亲子票济宁菏泽临沂盐城淮安亳州等,徐州
38.0,55.0,6.9,桂林旅游阳朔景点门票十里画廊蝴蝶泉景点门票电子票含蝴蝶泉表演,桂林
217.9,317.9,6.9,又见五台山门票【官方代售 赠往返交通】实景演出成人电子票,忻州
47.0,68.0,6.9,当天可订！ 琼海博鳌亚洲论坛成立会址门票+玉带滩往返船票,琼海市
318.0,460.0,6.9,【官方联票】三亚千古情演出贵宾席+呀诺达门票成人联票,三亚
47.0,68.0,6.9,当天可订！ 琼海博鳌亚洲论坛成立会址门票+玉带滩往返船票,琼海市
48.0,70.0,6.9,桂林阳朔旅游景点门票阳朔十里画廊精华景点蝴蝶泉+大榕树电子票,桂林
47.0,68.0,6.9,当天可订！ 琼海博鳌亚洲论坛成立会址门票+玉带滩往返船票,琼海市
